state,date,sex,age,ethnicity,population
Johor,1/1/2012,both,overall,overall,3450.4
Johor,1/1/2022,both,overall,overall,4028.3
Kedah,1/1/2012,both,overall,overall,2001.1
Kedah,1/1/2022,both,overall,overall,2163.1
Kelantan,1/1/2012,both,overall,overall,1651
Kelantan,1/1/2022,both,overall,overall,1830.6
Melaka,1/1/2012,both,overall,overall,843.2
Melaka,1/1/2022,both,overall,overall,1008.6
Negeri Sembilan,1/1/2012,both,overall,overall,1057.7
Negeri Sembilan,1/1/2022,both,overall,overall,1207.9
Pahang,1/1/2012,both,overall,overall,1547.1
Pahang,1/1/2022,both,overall,overall,1614.3
Perak,1/1/2012,both,overall,overall,2427
Perak,1/1/2022,both,overall,overall,2514.4
Perlis,1/1/2012,both,overall,overall,239.4
Perlis,1/1/2022,both,overall,overall,289.8
Pulau Pinang,1/1/2012,both,overall,overall,1623.2
Pulau Pinang,1/1/2022,both,overall,overall,1740.9
Sabah,1/1/2012,both,overall,overall,3432.7
Sabah,1/1/2022,both,overall,overall,3414.9
Sarawak,1/1/2012,both,overall,overall,2569.7
Sarawak,1/1/2022,both,overall,overall,2473.5
Selangor,1/1/2012,both,overall,overall,5702.4
Selangor,1/1/2022,both,overall,overall,7050.3
Terengganu,1/1/2012,both,overall,overall,1094.1
Terengganu,1/1/2022,both,overall,overall,1186.6
W.P. Kuala Lumpur,1/1/2012,both,overall,overall,1702.1
W.P. Kuala Lumpur,1/1/2022,both,overall,overall,1961.2
W.P. Labuan,1/1/2012,both,overall,overall,90.5
W.P. Labuan,1/1/2022,both,overall,overall,96.9
W.P. Putrajaya,1/1/2012,both,overall,overall,78.3
W.P. Putrajaya,1/1/2022,both,overall,overall,117
